state,x,y
Barguna,-27.0,-150.0
Barishal,-1.0,-78.0
Bhola,32.0,-119.0
Jhalokati,-20.0,-98.0
Patuakhali,-6.0,-128.0
Pirojpur,-44.0,-89.0
Bandarban,172.0,-195.0
Brahmanbaria,56.0,28.0
Chandpur,27.0,-38.0
Chittagong,134.0,-130.0
Comilla,54.0,-18.0
Coxsbazar,142.0,-212.0
Feni,92.0,-67.0
Khagrachhari,134.0,-37.0
Lakshmipur,29.0,-64.0
Noakhali,61.0,-73.0
Rangamati,159.0,-89.0
Dhaka,-13.0,10.0
Faridpur,-62.0,-19.0
Gazipur,-7.0,49.0
Gopalganj,-56.0,-58.0
Kishoreganj,33.0,76.0
Madaripur,-31.0,-43.0
Manikganj,-53.0,24.0
Munshiganj,-12.0,-11.0
Narayanganj,5.0,18.0
Narsingdi,28.0,38.0
Rajbari,-84.0,9.0
Shariatpur,-7.0,-50.0
Tangail,-48.0,74.0
Bagerhat,-71.0,-112.0
Chuadanga,-163.0,-7.0
Jessore,-126.0,-53.0
Jhinaidah,-133.0,-17.0
Khulna,-100.0,-128.0
Kushtia,-138.0,29.0
Magura,-99.0,-21.0
Meherpur,-172.0,14.0
Narail,-85.0,-50.0
Satkhira,-132.0,-99.0
Jamalpur,-56.0,120.0
Mymensingh,-13.0,98.0
Netrokona,39.0,112.0
Sherpur,-38.0,142.0
Bogra,-107.0,119.0
Jaipurhat,-133.0,148.0
Naogaon,-170.0,128.0
Natore,-134.0,74.0
Chapainawabganj,-222.0,107.0
Pabna,-106.0,44.0
Rajshahi,-178.0,81.0
Sirajganj,-90.0,75.0
Dinajpur,-176.0,206.0
Gaibandha,-97.0,166.0
Kurigram,-78.0,216.0
Lalmonirhat,-113.0,236.0
Nilfamari,-149.0,236.0
Panchagarh,-189.0,264.0
Rangpur,-121.0,203.0
Thakurgaon,-214.0,234.0
Habiganj,87.0,74.0
Maulvibazar,123.0,78.0
Sunamganj,81.0,129.0
Sylhet,151.0,130.0
